dir,Entry,updated,nSub,SPSDD,year1,author1,doi1,Ref1,Title
1/100,10001,19980914,17,,1969,R.W.Hockenbury+,,"Jour: Physical Review, Vol.178, p.1746 (1969)","Neutron radiative capture in Na, Al, Fe, and Ni from 1 to 200 keV."
1/100,10002,19990617,41,,1969,Z.M.Bartolome+,,"Jour: Nuclear Science and Engineering, Vol.37, p.137 (1969)","Neutron radiative capture and transmission measurements of W and Zr isotopes in the keV region."
1/100,10003,19990617,2,,1974,R.B.Schwartz+,,"Rept: National Bureau of Standards Monograph, No.138 (1974)","MeV total neutron cross sections."
1/100,10004,19990617,2,,1974,R.B.Schwartz+,,"Rept: National Bureau of Standards Monograph, No.138 (1974)","MeV total neutron cross sections"
1/100,10005,19990617,3,,1969,R.B.Schwartz+,,"Jour: Physics Letters,Section B, Vol.30, p.36 (1969)","A search for structure in the n-p scattering cross section."
1/100,10006,19990617,2,,1974,R.B.Schwartz+,,"Rept: National Bureau of Standards Monograph, No.138 (1974)","MeV total neutron cross sections"
1/100,10007,19990617,15,,1970,G.L.Sherwood+,,"Jour: Nuclear Science and Engineering, Vol.39, p.67 (1970)","Fast neutron cross sections of hafnium, gadolinium and samarium."
1/100,10008,19990617,6,,1970,A.B.Smith+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.581 (1970)","Fast neutrons incident on vanadium."
1/100,10009,19990617,3,,1971,J.F.Whalen+,,"Prog: Argonne National Laboratory report series, No.7710, p.9 (1971)","- Uranium total cross section. -"
1/100,10010,20050707,10,,1970,A.B.Smith+,,"Jour: Nuclear Science and Engineering, Vol.41, p.63 (1970)","Fast-neutron total and scattering cross sections of bismuth."
1/100,10011,19990617,4,,1970,A.D.Carlson+,,"Jour: Nuclear Science and Engineering, Vol.42, p.28 (1970)","High resolution measurements of the total neutron cross sections of nitrogen and iron."
1/100,10012,19990617,10,,1969,S.M.Grimes,,"Jour: Nuclear Physics, Section A, Vol.124, p.369 (1969)","Fluctuations in the neutron cross sections of Si."
1/100,10013,19990617,9,,1970,M.Lounsbury+,,"Conf: Nuclear Data for Reactors Conf., Helsinki 1970, Vol.1, p.287(2) (1970)","Measurements of alpha and of fission cross section ratios for 233U, 235U AND 239Pu at thermal energies"
1/100,10014,19990617,4,,1968,R.B.Schwartz+,,"Conf: Nuclear Cross-Sections Techn. Conf., Washington 1968, p.771 (1968)","Total neutron cross sections of carbon, iron, and lead in the mev region."
1/100,10015,19990617,3,,1969,R.B.Schwartz+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.14, p.494(AH4) (1969)","Neutron total cross sections in the mev energy region."
1/100,10016,19990617,6,,1969,D.M.Drake,,"Jour: Nuclear Physics, Section A, Vol.133, p.108 (1969)","Inelastic neutron scattering and gamma production from fast-neutron bombardment of 235U."
1/100,10017,20110727,13,,1969,D.C.Rorer+,,"Jour: Nuclear Physics, Section A, Vol.133, p.410 (1969)","Slow-neutron cross sections of He, Ne, Ar and Kr."
1/100,10018,19990617,3,,1969,J.Halperin+,,"Jour: Nuclear Science and Engineering, Vol.37, p.228 (1969)","The thermal-neutron capture cross section and resonance integral of 252Cf"
1/100,10019,19990617,3,,1969,R.L.Macklin+,,"Jour: Physical Review, Vol.181, p.1639 (1969)","208Pb,gamma cross sections by activation between 10 and 200 keV."
1/100,10020,19990617,5,,1969,W.K.Robinson+,,"Jour: American Journal of Physics, Vol.37, p.482 (1969)","A time-of-flight neutron experiment for the under- graduate laboratory."
1/100,10021,19990719,6,,1969,J.C.Davis+,,"Jour: Nuclear Physics, Section A, Vol.134, p.361 (1969)","Neutron energy determinations"
1/100,10022,20110727,26,,1969,R.C.Barrall+,,"Rept: Air Force Spec.Weap.Center Kirtland A.F.B.Repts., No.68-134 (1969)","High energy neutron cross section validation and neutron flux spectrum using the HENRE source."
1/100,10023,19990719,2,,1970,H.O.Menlove+,,"Jour: Nuclear Science and Engineering, Vol.40, p.136 (1970)","Cross Section for the Delayed-Neutron Yield from the 17O(n,p)17N reaction at 14.1 MeV."
1/100,10024,19990719,2,SPSDD,1969,J.Romero+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.14, p.553(DG4) (1969)","Elastic scattering of medium energy neutrons from deuterium."
1/100,10025,19990719,21,,1970,D.M.Drake+,,"Jour: Nuclear Science and Engineering, Vol.40, p.294 (1970)","Gamma-ray production cross sections for fast neutron interactions with several elements."
1/100,10026,19990719,3,,1969,N.D.Dudey+,,"Jour: Journal of Nuclear Energy, Vol.23, p.443 (1969)","Fast neutron capture by vanadium and titanium."
1/100,10027,19990719,25,,1969,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4441 (1969)","Carbon neutron elastic-and inelastic-scattering cross sections from 4.5 to 8.5 MeV"
1/100,10028,19990719,5,,1970,J.L.Fowler+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.124 (1970)","Differential scattering of neutrons at narrow levels in 17O."
1/100,10029,20050627,2,,1969,V.C.Rogers+,,"Jour: Nuclear Physics, Section A, Vol.137, p.85 (1969)","The energy level structure of 45Sc from the (n,n'gamma) reaction"
1/100,10030,19990719,4,,1970,N.D.Dudey+,,"Jour: Journal of Nuclear Energy, Vol.24, p.181 (1970)","Reaction cross sections of 85Rb(n,gamma)86Rb(m), 87Rb(n,gamma)88Rb, and 89Y(n,gamma)90Y(m) between 0.16 MeV and 1.5 MeV."
1/100,10031,19990719,12,,1969,R.C.Barrall+,,"Jour: Nuclear Physics, Section A, Vol.138, p.387 (1969)","Cross sections of some reactions of Al, S, Mn, Fe, Ni, In, and I with 14.8 MeV neutrons."
1/100,10032,20101013,8,,1973,M.G.Silbert+,,"Jour: Nuclear Science and Engineering, Vol.52, p.176 (1973)","Fission cross section of plutonium-238"
1/100,10033,19990719,2,,1974,R.B.Schwartz+,,"Rept: National Bureau of Standards Monograph, No.138 (1974)","Total neutron cross sections of carbon in the mev region."
1/100,10034,19990719,77,,1971,J.Meadows+,,"Jour: Zeitschrift fuer Physik, Vol.243, p.171 (1971)","Fast neutron total and scattering cross sections of Ho-165."
1/100,10035,19990719,9,,1971,R.Gwin+,,"Jour: Nuclear Science and Engineering, Vol.45, p.25 (1971)","Simultaneous measurement of the neutron fission and absorption cross sections of plutonium-239 over the energy region 0.02 eV to 30 keV."
1/100,10036,19990719,2,,1970,L.N.Rothenberg,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.1226 (1970)","Neutron-proton angular distribution at 24 MeV."
1/100,10037,19990719,74,,1971,P.Boschung+,,"Jour: Nuclear Physics, Section A, Vol.161, p.593 (1971)","Scattering of fast neutrons by C-12,Fe-54,Fe-56,Ni-58, and Ni-60."
1/100,10038,19990719,9,,1970,V.R.Dave+,,"Jour: Nuclear Physics, Section A, Vol.142, p.619 (1970)","Energy levels of 133Cs and 141Pr from the (n,n') reaction."
1/100,10039,19990719,2,,1969,Y.Ito+,,"Jour: Physical Review, Vol.185, p.961 (1969)","Coherent neutron scattering by cobalt with nuclear polarization."
1/100,10040,19990719,17,,1969,T.J.King+,,"Jour: Nuclear Physics, Section A, Vol.138, p.556 (1969)","Neutron scattering measurements in the resonance region"
1/100,10041,19990719,3,,1971,A.Stolovy+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.4, p.1466 (1971)","Evidence for intermediate-state structure from resonance neutron capture in Re-185 and Re-187"
1/100,10042,19990719,9,,1969,G.H.E.Sims+,,"Jour: Journal of Inorganic and Nuclear Chemistry, Vol.31, p.3721 (1969)","The thermal neutron capture cross section and resonance capture integral of 35Cl for (n,g) and (n,p) reactions"
1/100,10043,19990719,106,,1969,S.C.Mathur+,,"Jour: Physical Review, Vol.186, p.1038 (1969)","(n,n') and (n,2n) reactions in several elements at 14.8-MeV"
1/100,10044,19990719,13,,1970,E.F.Parker+,,"Jour: Physics Letters,Section B, Vol.31, p.246 (1970)","Neutron-proton, and neutron-deuteron total cross sections at 4.0 GeV/c and 5.7 GeV/c."
1/100,10045,19990719,76,,1970,K.C.Chung+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.139 (1970)","Ge(n,n'gamma) Reactions and Low-Lying States of Ge Isotopes."
1/100,10046,19990907,32,,1972,F.Rahn+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.6, p.251 (1972)","Neutron resonance spectroscopy. IX. the separated Isotopes of samarium and europium."
1/100,10047,19990907,107,,1971,D.G.Foster jr+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.576 (1971)","Neutron Total Cross Sections, 2.5 - 15 MeV. I. Experimental."
1/100,10048,19990907,92,,1974,E.Barnard+,,"Jour: Nuclear Physics, Section A, Vol.229, p.189 (1974)","Neutron scattering from titanium, compound and direct effects."
1/100,10049,19990907,22,,1971,M.P.Fricke+,,"Conf: 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971, Vol.1, p.252 (1971)","Measurements of cross sections for radiative capture of 1-keV to 1-MeV neutrons by Mo, Rh, Gd, Ta, W, Re, Au and U238."
1/100,10050,19990907,5,,1970,J.W.Meadows+,,"Jour: Nuclear Science and Engineering, Vol.41, p.351 (1970)","The Total Neutron Cross Section Of Lithium-7 and Carbon from 100 to 1500 keV."
1/100,10051,20100401,32,,1969,S.F.Mughabghab+,,"Jour: Physical Review, Vol.180, p.1131 (1969)","S-Wave Neutron Strength Functions of Gd Isotopes."
1/100,10052,19990907,37,,1970,S.F.Mughabghab+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.1850 (1970)","Study of Radiation Widths and Neutron Strength Functions of Dy Isotopes."
1/100,10053,20101116,3,,1970,O.A.Wasson+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.675 (1970)","Resonant Neutron Capture in 175Lu"
1/100,10054,19990907,2,,1969,J.D.Cramer+,,"Rept: Los Alamos Scientific Lab. Reports, No.4285 (1969)","Neutron induced fission cross sections for U235 from the Persimmon event."
1/100,10055,20101016,3,,1970,J.A.Farrell,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.3 (1970)","Fission cross sections from Pommard."
1/100,10056,20101014,5,,1970,D.W.Bergen,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.21 (1970)","Fission cross sections from POMMARD."
1/100,10057,20101014,5,,1970,J.D.Cramer,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.45 (1970)","Fission cross sections from Pommard."
1/100,10058,20101014,3,,1970,J.D.Cramer+,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.74 (1970)","Fission cross sections from Pommard."
1/100,10059,20101015,4,,1974,J.W.Mcnally+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.9, p.717 (1974)","Neutron-induced fission cross section of 237U"
1/100,10060,20101015,3,,1970,W.K.Brown+,,"Jour: Nuclear Physics, Section A, Vol.156, p.609 (1970)","Fission cross section of 237Np from Pommard"
1/100,10061,20101015,4,,1970,D.M.Drake+,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.101 (1970)","Fission cross sections from Pommard."
1/100,10062,20101015,6,,1971,D.W.Bergen+,,"Jour: Nuclear Physics, Section A, Vol.163, p.577 (1971)","Fission cross sections of 242Pu"
1/100,10063,20100930,4,,1970,P.A.Seeger,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.138 (1970)","Fission cross sections from Pommard."
1/100,10064,20101015,2,,1970,R.R.Fullwood+,,"Rept: Los Alamos Scientific Lab. Reports, No.4420, p.157 (1970)","Fission cross sections from Pommard."
1/100,10065,20110812,6,,1970,M.R.Bhat+,10.1103/PhysRevC.2.1115,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.1115 (1970)","Gamma Rays from Thermal and Resonance Neutron Capture in 121Sb and 123Sb."
1/100,10066,19990907,2,,1970,G.Brunhart+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.1137 (1970)","Absolute Determination of Spins of Neutron Resonances and the Hyperfine Coupling Constant in 167Er."
1/100,10067,19990907,2,,1970,G.A.Cowan+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.615 (1970)","Symmetry of Neutron-Induced 235U Fission at Individual Resonances."
1/100,10068,19990907,2,,1970,H.T.Heaton ii+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.15, p.568(GF7) (1970)","Total Neutron Cross Section of Nitrogen in the MeV Region."
1/100,10069,19990907,2,,1974,R.B.Schwartz+,,"Rept: National Bureau of Standards Monograph, No.138 (1974)","MeV Total Neutron Cross Sections."
1/100,10070,19990907,5,,1971,R.B.Schwartz+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.16, p.495(AH3) (1971)","Total Neutron Cross Sections of Silicon and Beryllium."
1/100,10071,19991012,2,,1971,J.F.Whalen+,,"Prog: Argonne National Laboratory report series, No.7710, p.12 (1971)","Fast Neutron Total Cross Sections"
1/100,10072,19991012,3,,1972,J.W.Meadows+,,"Jour: Nuclear Science and Engineering, Vol.48, p.221 (1972)","The Total Neutron Cross Sections of Lithium-6 from 100 to 1500 keV."
1/100,10073,19991012,135,,1972,A.B.Smith+,,"Jour: Nuclear Science and Engineering, Vol.49, p.389 (1972)","note on the Fast Neutron Cross Section of Palladium"
1/100,10074,19991012,60,,1971,R.G.Stieglitz+,,"Jour: Nuclear Physics, Section A, Vol.163, p.592 (1971)","keV neutron capture and transmission measurements on 50Cr, 52Cr, 53Cr, 54Cr, 60Ni and V."
1/100,10075,19991012,3,,1971,R.E.Chrien+,,"Conf: 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971, Vol.2, p.792 (1971)","High resolution capture gamma-ray spectroscopy in fissile nuclides."
1/100,10076,19991012,2,,1970,H.Marshak+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.1862 (1970)","Total Neutron Cross Section of Oriented 165Ho from 2 to 135 MeV."
1/100,10077,19991022,3,,1970,K.Rimawi+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.1793 (1970)","Resonance Neutron Capture in Rh103."
1/100,10078,19991012,25,,1968,G.L.Morgan+,,"Jour: Physical Review, Vol.168, p.1114 (1968)","Neutron-Helium Interaction. II Angular Distributions and Phase Shifts from 0.2 to 7.0 MeV."
1/100,10079,19991012,14,,1970,G.De saussure+,,"Conf: Nuclear Data for Reactors Conf., Helsinki 1970, Vol.2, p.757(94) (1970)","Multilevel analysis of the 233U AND 235U capture and fission cross sections and statistical properties of the Kapur-Peirles type resonance parameters for the s-wave cross sections of the fissile isotopes"
1/100,10080,19991012,9,,1970,K.J.Wetzel+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.1501 (1970)","Method for Determining Spins of Neutron Resonances"
1/100,10081,19991013,72,,1973,H.I.Liou+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.7, p.823 (1973)","Neutron resonance spectroscopy. XI. The separated isotopes of Yb."
1/100,10082,19991013,25,,1973,W.Schimmerling+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.7, p.248 (1973)","Neutron-nucleus total and inelastic cross sections - 900 to 2600 MeV/c."
1/100,10083,19991013,4,,1970,J.C.Connor,,"Rept: Westinghouse Atomic Power Div.(Bettis) Reports, No.837 (1970)","Integral measurements of the protoactinium-233 neutron capture cross section"
1/100,10084,19991013,3,,1970,W.K.Lehto,,"Jour: Nuclear Science and Engineering, Vol.39, p.361 (1970)","Fission CRoss-Section Ratio Measurements of 239Pu and 233U to 235U from 0.24 to 24 keV."
1/100,10085,19991013,6,,1967,H.A.O'brien jr+,,"Jour: Journal of Inorganic and Nuclear Chemistry, Vol.29, p.584 (1967)","The thermal neutron cross sections and resonance integrals of 139La and 140140"
1/100,10086,19991013,5,,1970,W.P.Poenitz,,"Jour: Nuclear Science and Engineering, Vol.40, p.383 (1970)","Measurement of the Ratios of Capture and Fission Neutron Cross Sections of 235U, 238U, and 239Pu at 130 to 1400 keV."
1/100,10087,19991013,3,,1970,D.L.Smith+,,"Jour: Nuclear Physics, Section A, Vol.147, p.509 (1970)","Polarization in neutron-deuteron elastic scattering at 1.2 MeV."
1/100,10088,19991013,19,,1970,L.Husain+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.1233 (1970)","Neutron Activation Cross Sections at 14.8 MeV for Rubidium, Zirconium, and Niobium."
1/100,10089,19991013,4,,1969,F.P.Mooring+,,"Jour: Physical Review, Vol.178, p.1612 (1969)","Properties of the 3.39-MeV State in B12"
1/100,10090,19801210,38,,1969,S.C.Mathur+,,"Jour: Physical Review, Vol.186, p.1038 (1969)","(N,N') and (N,2N) Reactions In Several Elements At 14.8 Mev."
1/100,10091,19991013,10,,1969,W.E.Tucker+,,"Rept: Defense Atomic Support Agency Reports, No.2333 (1969)","Neutron induced gamma-ray production cross sections for silicon and tungsten."
1/100,10092,19991013,2,,1970,D.G.Costello+,,"Jour: Nuclear Science and Engineering, Vol.39, p.409 (1970)","3He(n,p)T Cross Section from 0.3 to 1.16 MeV"
1/100,10093,19991013,272,,1970,R.O.Lane+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.2097 (1970)","States in 12B Observed in Scattering of Neutrons by 11B"
1/100,10094,19991013,158,,1970,J.K.Dickens,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.990 (1970)","28-30Si(n,x gamma) Reactions for E(n) greater than 5.3 MeV, less than 9.0 MeV."
1/100,10095,19991013,51,,1970,J.K.Dickens+,,"Jour: Nuclear Science and Engineering, Vol.40, p.346 (1970)","The 14N(n,x gamma) Reaction for Neutron Energies between 8.5 and 11 MeV."
1/100,10096,19991013,23,,1970,J.K.Dickens+,,"Jour: Nuclear Science and Engineering, Vol.40, p.283 (1970)","The 16O(n,x gamma) Reaction for E(n) between 6.7 and 11 MeV."
1/100,10097,19991013,11,,1970,V.J.Orphan+,,"Jour: Nuclear Science and Engineering, Vol.42, p.352 (1970)","Gamma-ray production cross sections for the O16 (n,x gamma) reaction from 6.35- to 16.52-mev neutron energy"
1/100,10098,19991013,7,,1970,TH.Stammbach+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.434 (1970)","Scattering of 7.8-MeV polarized neutrons from He-4 and the phase shifts below 8 MeV."
1/100,10099,19991013,3,,1971,J.C.Davis+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.1798 (1971)","Fast-Neutron Total Cross Section of Deuterium."
1/101,10100,19991013,4,,1970,L.W.Weston+,,"Jour: Nuclear Science and Engineering, Vol.42, p.143 (1970)","Neutron Fission and Capture Cross-Section Measurements for Uranium-233 in the Energy Region 0.02 to 1 eV."
1/101,10101,19990120,4,,1973,G.De saussure+,,"Jour: Nuclear Science and Engineering, Vol.51, p.385 (1973)","Measurement of the Uranium-238 capture cross section for incident neutron energies up to 100 keV."
1/101,10102,20000202,2,,1970,F.P.Brady+,,"Jour: Physical Review Letters, Vol.25, p.1628 (1970)","Precise measurement of neutron-proton total cross section from 25 to 60 MeV."
1/101,10103,19760329,2,,1970,F.Becvar+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.15, p.1667(CC5) (1970)","The Study of Neutron Resonance Capture In Sm-149."
1/101,10104,20000202,74,,1970,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4518 (1970)","Neutron elastic- and inelastic- scattering cross sections for Na in the range of 5.4 to 8.5 MeV"
1/101,10105,20000202,42,,1970,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4550 (1970)","Neutron elastic- and inelastic-scattering cross sections for Mg in the energy range 4.19 to 8.56 MeV"
1/101,10106,20000202,106,,1970,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4516 (1970)","Al neutron elastic- and inelastic-scattering cross sections from 4.19 to 8.56 MeV"
1/101,10107,20000202,49,,1970,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4517 (1970)","Neutron elastic- and inelastic-scattering cross sections for Si in the energy range 4.19 to 8.56 MeV"
1/101,10108,20000202,87,,1970,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4539 (1970)","Sulfur neutron elastic- and inelastic-scattering cross sections from 4.0 to 8.5 MeV"
1/101,10109,20000202,57,,1970,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4519 (1970)","Calcium neutron elastic- and inelastic-scattering cross sections from 4.0 to 8.5 MeV"
1/101,10110,20000202,20,,1970,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4551 (1970)","V neutron elastic and inelastic scattering cross sections from 4.19 to 8.56 MeV"
1/101,10111,20000202,157,,1970,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4515 (1970)","Neutron elastic- and inelastic-scattering cross sections for 56Fe in the energy range 4.19 to 8.56 MeV"
1/101,10112,20000202,126,,1970,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4549 (1970)","Neutron elastic- and inelastic-scattering cross sections for Co in the energy range 4.19 to 8.56 MeV"
1/101,10113,20000202,16,,1974,W.E.Kinney+,,"Rept: Oak Ridge National Lab. Reports, No.4807 (1974)","Ni neutron elastic- and inelastic-scattering cross sections from 4.07 to 8.56 MeV"
1/101,10114,20000202,11,,1971,J.W.Codding jr+,,"Jour: Nuclear Science and Engineering, Vol.43, p.58 (1971)","Total neutron cross section and resonance parameters of promethium-147"
1/101,10115,20000202,6,,1971,C.J.Orth,,"Jour: Nuclear Science and Engineering, Vol.43, p.54 (1971)","The average number of neutrons emitted in the spontaneous fission of some even-even heavy nuclides"
1/101,10116,20000202,2,,1970,J.Lebowitz+,,"Jour: Nuovo Cimento A, Vol.65, p.675 (1970)","High-Energy Gamma Rays from the Decay of 24Na and the 27Al(n,alpha)24Na reaction at E(n)= 14 MeV."
1/101,10117,19990814,9,,1972,M.S.Krick+,,"Jour: Nuclear Science and Engineering, Vol.47, p.311 (1972)","The Measurement of Total Delayed-Neutron Yields as a Function of the Energy of the Neutron Inducing Fission"
1/101,10118,20000202,2,,1970,S.F.Mughabghab+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.15, p.1667(CC6) (1970)","Nonstatistical effects in s-wave neutron capture in 163Dy(n,gamma)164Dy."
1/101,10119,20000202,9,,1971,J.Halperin+,,"Prog: Oak Ridge National Lab. Reports, No.4706, p.47 (1971)","The thermal cross sections and resonance integrals for neutron capture of 249Cf, 250Cf, and 251Cf."
1/101,10120,20000202,3,,1971,J.R.Lemley+,,"Jour: Nuclear Science and Engineering, Vol.43, p.281 (1971)","High Resolution Fission Cross Section of Uranium-235 from 20 eV to 100 keV"
1/101,10121,20080915,34,,1971,M.S.Moore+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.1656 (1971)","Analysis of the fission and capture cross section of the curium isotopes"
1/101,10122,20000321,3,,1970,J.C.Clement+,,"Prog: Rensselaer Polytechnic Inst. Reports, No.328-200, p.24 (1970)","Total MeV cross sections of Na and C from 0.5 to 40 MeV"
1/101,10123,20000321,9,,1970,T.E.Young+,,"Jour: Nuclear Science and Engineering, Vol.40, p.389 (1970)","Total neutron cross section of 242Pu."
1/101,10124,20000321,2,,1971,P.Stoler+,,"Conf: 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971, Vol.1, p.311 (1971)","The MeV total neutron cross section program at R.P.I."
1/101,10125,20000321,9,,1970,A.H.Jaffey+,,"Jour: Nuclear Physics, Section A, Vol.145, p.1 (1970)","Measurement of prompt neutron fission yield in thermal neutron fission of U-232,Pu-238,Pu-241,Am-241,Am-242m, Cm-243,Cm-245 and in spontaneous fission of Cm-244."
1/101,10126,20000321,2,,1970,J.L.Green+,,"Jour: Journal of Nuclear Materials, Vol.34, p.281 (1970)","Crystallographic and magnetic ordering studies of plutonium carbides using neutron diffraction"
1/101,10127,20000321,5,,1972,R.W.Hockenbury+,,"Jour: Nuclear Science and Engineering, Vol.49, p.153 (1972)","Neutron Capture, Fission, and Total Cross Sections of Plutonium-240 from 20 eV to 30 keV"
1/101,10128,20000321,13,,1972,R.W.Benjamin+,,"Jour: Nuclear Science and Engineering, Vol.47, p.203 (1972)","Fission cross sections for five isotopes of curium and californium-249."
1/101,10129,20000321,3,,1970,C.E.Bemis+,,"Jour: Nuclear Science and Engineering, Vol.41, p.146 (1970)","Effective Capture and Fission Cross Sections for Californium-253."
1/101,10130,20000321,22,,1970,F.G.Perey+,,"Rept: Oak Ridge National Lab. Reports, No.4552 (1970)","Neutron elastic and inelastic scattering cross sections for yttrium in the energy range 4.19 to 8.56 MeV."
1/101,10131,20000321,2,,1967,L.Heaton+,,"Jour: Journal of Physics and Chemistry of Solids, Vol.28, p.1651 (1967)","A neutron diffraction determination of the coherent scattering amplitude of np and the possible antiferro- magnetism of neptunium dioxide"
1/101,10132,20000321,6,,1971,F.B.Simpson+,,"Jour: Nuclear Physics, Section A, Vol.164, p.34 (1971)","Neutron scattering cross sections of 233U, 235U and 239Pu."
1/101,10133,20000321,2,,1971,T.E.Young+,,"Jour: Nuclear Science and Engineering, Vol.43, p.341 (1971)","The Low-Energy Total Neutron Cross Section of Plutonium-242."
1/101,10134,20000321,3,,1969,R.L.Bramlett+,,"Jour: Nuclear Science and Engineering, Vol.35, p.350 (1969)","Energy-Dependent Shielding Factors for 235U Foils from Transmission Measurements."
1/101,10135,20000321,8,,1970,J.L.Romero+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.2, p.2134 (1970)","Elastic scattering of 36.0- and 46.3-MeV neutrons from deuterium"
1/101,10136,20000321,5,,1971,C.H.Johnson+,,"Conf: 3rd Conf.Neutron Cross-Sections+Tech.,Knoxville 1971, Vol.1, p.179 (1971)","Total Neutron Cross Section of 40Ca with about 4-keV Energy Resolution."
1/101,10137,20000321,7,,1973,J.L.Fowler+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.8, p.545 (1973)","Level Structure of 17O from Neutron Total Cross Section"
1/101,10138,20110914,4,,1971,R.E.Chrien+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.2054 (1971)","Resonance Neutron Capture in 93Nb"
1/101,10139,20000321,4,,1971,T.L.Houk,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.1886 (1971)","Neutron-Proton Scattering Cross Section at a Few Electron Volts and Charge Independence."
1/101,10140,20000321,2,,1971,E.Cheifetz+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.2017 (1971)","Prompt Neutrons from Spontaneous Fission of Fm257."
1/101,10141,20001211,8,,1971,B.J.Allen+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.3, p.1737 (1971)","Neutron Capture Cross Sections of 13C and 16O"
1/101,10142,20001211,2,,1971,H.A.Grench+,,"Jour: Nuclear Physics, Section A, Vol.166, p.670 (1971)","Search for 72.5 sec ''metastable aluminum state''"
1/101,10143,20001211,19,,1971,H.M.Eiland+,,"Jour: Nuclear Science and Engineering, Vol.44, p.180 (1971)","Epithermal Measurements of Capture and Fission Resonance Integrals in 235U, 233U, 239Pu, and 241Pu"
1/101,10144,20001211,4,,1971,J.F.Conant+,,"Jour: Nuclear Science and Engineering, Vol.44, p.173 (1971)","Measurement of the Delayed-nEUTRON Fractions for Thermal Fission of Uranium-235, Plutonium-239 and Uranium-233"
1/101,10145,20001211,34,,1970,W.D.Lu+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.1, p.358 (1970)","Activation Cross Sections for (n,p), ((n,np)+(n,pn)+ (n,d)), and (n,alpha) Reactions in the Region of Z=40 to 58 at 14.4 MeV."
1/101,10146,19990811,57,,1971,V.C.Rogers+,,"Jour: Nuclear Science and Engineering, Vol.45, p.297 (1971)","Neutron Inelastic Scattering Cross Sections for Iron, Nickel, Niobium and Tantalum from Threshold to 1.8 MeV"
